dateTime,country,city,region,profile,age,gender,surveyType,purpose,concern,whenSiteUsed,purchasedBefore,purchaseExpectInNextMonth,productKnewWhatWanted,behavNumVisits,behavReferral,behavPageviews,avgAmountSpent
13.08.14,United States,Chipley,178,Occasional customer,NA,Male,At Arrival Only,Resources,Shipping costs,Never. This is my first visit,NA,3,NA,6,Branded Search,10+,100.46
28.08.14,United States,Medina,533,Other,NA,Female,At Arrival Only,Resources,Product effectiveness/will it work,Never. This is my first visit,NA,3,NA,20,Unbranded Search,10+,161.01
18.08.14,United States,Lexington,488,New customer,35-44,Female,At Arrival and Exit,Buy from this site,Warranties/product guarantees,Never. This is my first visit,NA,3,Somewhat,12,Referred,7 to 9,116.92
19.08.14,United States,Ellijay,271,New customer,25-34,Female,At Exit,Other,None / no uncertainties,Never. This is my first visit,NA,3,NA,9,Referred,10+,111.16
29.07.14,United States,Chester,173,New customer,35-44,Female,At Exit,Buy from this site,Other,Never. This is my first visit,NA,3,Somewhat,4,Unbranded Search,10+,94.95
30.07.14,United States,Minneapolis,554,New customer,25-34,Female,At Exit,Resources,Shipping costs,Never. This is my first visit,NA,3,NA,6,Referred,10+,99.46
10.09.14,Puerto Rico,Bayamon,69,New customer,35-44,Male,At Exit,Buy from this site,Other,In the past year,"Yes, once",4,Yes,8,Direct,10+,54.81
20.08.14,United States,Austin,51,New customer,NA,Female,At Arrival Only,Products,Shipping costs,Never. This is my first visit,NA,1,NA,2,Unbranded Search,10+,120.18
13.08.14,United States,Torrance,870,Other,Prefer not to answer,Prefer not to answer,At Arrival and Exit,Products,None / no uncertainties,In the past year,No,3,Somewhat,23,Unbranded Search,10+,108.51
13.08.14,United States,Clovis,185,Frequent customer,NA,Male,At Arrival and Exit,Products,Fast delivery,Never. This is my first visit,NA,3,No,5,Unbranded Search,7 to 9,80.09
25.08.14,Canada,Keswick,442,Occasional customer,45-54,Female,At Arrival and Exit,Products,Shipping costs,Never. This is my first visit,NA,3,No,23,Unbranded Search,7 to 9,132.63
30.07.14,United States,Louisville,503,Employee,NA,Male,At Arrival and Exit,Products,Shipping costs,In the past month,No,2,Yes,13,Branded Search,10+,108.6
29.07.14,United States,Midlothian,548,New customer,NA,Male,At Arrival Only,Buy from this site,None / no uncertainties,Never. This is my first visit,NA,4,No,16,Direct,10+,94.87
18.08.14,United States,Fresh Meadows,317,New customer,NA,Female,At Exit,Buy from this site,Warranties/product guarantees,In the past month,No,4,Somewhat,8,Self Referred,2 to 3,86.31
20.08.14,Denmark,Herlev,370,Other,Less than 18,Prefer not to answer,At Exit,Products,Warranties/product guarantees,In the past month,No,2,Somewhat,9,Direct,2 to 3,102.74
13.08.14,United States,Natick,585,New customer,NA,Male,At Arrival Only,Products,Shipping costs,Never. This is my first visit,NA,3,Somewhat,8,Direct,10+,99.91
28.08.14,United Kingdom,Buckingham,127,New customer,NA,Male,At Arrival Only,Products,Other,More than a year ago,No,3,No,17,Unbranded Search,10+,118.58
23.08.14,United States,Ashburn,41,Other,NA,Female,At Arrival Only,Buy from this site,None / no uncertainties,Never. This is my first visit,NA,3,Yes,12,Branded Search,2 to 3,153.2
19.08.14,United Kingdom,Buckingham,127,New customer,NA,Male,At Arrival Only,Products,Ease of returning (if I am not satisfied with product),More than a year ago,No,3,No,9,Unbranded Search,10+,105.86
29.07.14,United States,Rockford,735,New customer,NA,Male,At Arrival Only,Buy from this site,Shipping costs,In the past week,No,4,Somewhat,5,Unbranded Search,4 to 6,68.01
21.08.14,United States,Urbana,885,New customer,NA,Female,At Arrival Only,Buy from this site,None / no uncertainties,In the past year,"Yes, once",4,Somewhat,14,Direct,10+,123.7
12.08.14,United States,Eden Prairie,259,Frequent customer,35-44,Female,At Arrival and Exit,Compare pricing,Product effectiveness/will it work,Never. This is my first visit,NA,4,Somewhat,7,Unbranded Search,10+,93.42
29.07.14,United States,San Mateo,778,New customer,35-44,Male,At Exit,Buy from this site,Warranties/product guarantees,In the past week,No,4,No,4,Direct,1,40.95
22.08.14,United States,Auburn,47,New customer,NA,Male,At Arrival Only,Products,Product effectiveness/will it work,In the past year,No,3,Somewhat,6,Unbranded Search,4 to 6,95.36
24.08.14,United States,Miami,544,New customer,NA,Female,At Arrival Only,Products,None / no uncertainties,Never. This is my first visit,NA,3,Yes,4,Unbranded Search,7 to 9,121.15
19.08.14,United States,Chicago,176,New customer,35-44,Female,At Exit,Buy from this site,None / no uncertainties,Never. This is my first visit,NA,3,Somewhat,4,Direct,4 to 6,94.95
13.08.14,United States,Brooklyn,120,Frequent customer,NA,Male,At Exit,Resources,None / no uncertainties,Never. This is my first visit,NA,3,NA,25,Referred,1,112.28
27.08.14,United States,Madison,509,Frequent customer,NA,Male,At Arrival Only,Resources,Product effectiveness/will it work,Never. This is my first visit,NA,3,NA,13,Unbranded Search,10+,123
25.08.14,United States,Naples,583,New customer,NA,Male,At Arrival Only,Compare pricing,None / no uncertainties,In the past week,"Yes, once",3,Somewhat,20,Direct,4 to 6,121.83
26.07.14,Denmark,Copenhagen,201,Other,NA,Male,At Arrival Only,Resources,Shipping costs,Never. This is my first visit,NA,2,Somewhat,11,Unbranded Search,2 to 3,129.36
27.08.14,Namibia,Walvis Bay,913,New customer,NA,Female,At Arrival Only,Buy from this site,Shipping costs,Never. This is my first visit,NA,4,No,39,Referred,1,140.59
15.08.14,United States,La Porte,454,Other,NA,Prefer not to answer,At Exit,Compare pricing,Shipping costs,Never. This is my first visit,NA,2,Yes,5,Unbranded Search,4 to 6,87.39
12.08.14,United States,Wareham,915,New customer,45-54,Female,At Exit,Products,None / no uncertainties,In the past year,"Yes, once",4,Somewhat,6,Self Referred,2 to 3,80.56
15.08.14,United States,Schenectady,792,Other,NA,Male,At Arrival and Exit,Other,Shipping costs,Never. This is my first visit,NA,3,NA,2,Direct,1,56.06
22.08.14,United States,Minneapolis,554,New customer,35-44,Female,At Arrival Only,Buy from this site,Ease of returning (if I am not satisfied with product),Never. This is my first visit,NA,4,No,5,Direct,7 to 9,103.11
26.08.14,United States,Oakes,627,Other,NA,Male,At Arrival Only,Compare pricing,Ease of returning (if I am not satisfied with product),Never. This is my first visit,NA,3,Somewhat,9,Unbranded Search,10+,115.94
11.08.14,United States,San Francisco,771,New customer,35-44,Female,At Exit,Buy from this site,Warranties/product guarantees,Never. This is my first visit,NA,3,Yes,4,Unbranded Search,10+,94.95
25.08.14,United States,Piketon,679,New customer,NA,Male,At Exit,Buy from this site,Shipping costs,Never. This is my first visit,NA,4,Somewhat,11,Branded Search,7 to 9,57.58
29.07.14,Canada,Comox,198,New customer,NA,Male,At Arrival Only,Products,None / no uncertainties,Never. This is my first visit,NA,3,Somewhat,4,Unbranded Search,2 to 3,89.65
29.08.14,United States,White Plains,946,Occasional customer,NA,Female,At Arrival Only,Products,Whether this is right for my child,Never. This is my first visit,NA,3,Yes,24,Unbranded Search,4 to 6,163.28
11.08.14,United States,Portsmouth,696,Frequent customer,55-64,Female,At Arrival and Exit,Compare pricing,None / no uncertainties,In the past year,No,3,No,30,Direct,7 to 9,147.42
29.07.14,United States,Fremont,316,Occasional customer,NA,Male,At Exit,Products,Warranties/product guarantees,Never. This is my first visit,NA,3,Yes,9,Direct,2 to 3,85.96
25.08.14,Canada,Fallon,287,New customer,NA,Male,At Arrival Only,Resources,None / no uncertainties,In the past month,No,3,Somewhat,9,Unbranded Search,4 to 6,105.86
17.08.14,United States,Freeport,315,Frequent customer,NA,Female,At Arrival Only,Resources,None / no uncertainties,Never. This is my first visit,NA,2,NA,7,Referred,1,157.52
15.08.14,Australia,Merrylands,539,Occasional customer,NA,Female,At Exit,Resources,Shipping costs,Never. This is my first visit,NA,3,Somewhat,29,Unbranded Search,1,137.27
14.08.14,Australia,Sydney,850,Occasional customer,NA,Male,At Arrival and Exit,Products,Ease of returning (if I am not satisfied with product),Never. This is my first visit,NA,3,Yes,6,Direct,7 to 9,77.86
27.08.14,United States,Lebanon,481,New customer,45-54,Female,At Exit,Resources,Whether this is right for my child,Never. This is my first visit,NA,4,NA,5,Unbranded Search,2 to 3,76.91
27.08.14,United States,Edmonds,262,New customer,NA,Female,At Exit,Compare pricing,Shipping costs,Never. This is my first visit,NA,3,Somewhat,3,Unbranded Search,10+,85.59
26.08.14,United States,Houston,400,Other,NA,Male,At Exit,Products,None / no uncertainties,Never. This is my first visit,NA,1,NA,2,Social,2 to 3,76.16
10.08.14,Canada,Orillia,643,New customer,35-44,Female,At Arrival and Exit,Products,Shipping costs,Never. This is my first visit,NA,3,Yes,10,Direct,10+,109.67
28.07.14,Canada,Regina,720,New customer,35-44,Female,At Arrival and Exit,Resources,Shipping costs,Never. This is my first visit,NA,3,No,9,Social,1,107.56
26.08.14,Australia,Dandenong,219,Frequent customer,35-44,Female,At Exit,Buy from this site,Fast delivery,In the past month,"Yes, once",5,Yes,2,Branded Search,7 to 9,38.76
14.08.14,United States,Woodbridge,962,New customer,NA,Male,At Arrival Only,Resources,None / no uncertainties,Never. This is my first visit,NA,3,NA,14,Unbranded Search,10+,114.7
30.07.14,United States,Hollidaysburg,392,Other,Prefer not to answer,Prefer not to answer,At Exit,Products,Shipping costs,In the past year,No,4,Yes,19,Unbranded Search,10+,78.59
28.07.14,United States,Virginia Beach,900,New customer,NA,Male,At Arrival Only,Buy from this site,Shipping costs,NA,NA,3,Yes,3,Unbranded Search,10+,80.29
27.08.14,United States,Webster,925,Other,35-44,Female,At Exit,Buy from this site,None / no uncertainties,In the past month,"Yes, more than once",3,Yes,4,Unbranded Search,4 to 6,105.03
17.08.14,United States,Seattle,798,New customer,NA,Male,At Exit,Compare pricing,None / no uncertainties,Never. This is my first visit,NA,3,No,6,Direct,2 to 3,71.56
10.09.14,United States,Wichita,948,Frequent customer,45-54,Female,At Arrival and Exit,Compare pricing,Product effectiveness/will it work,Never. This is my first visit,NA,3,Yes,16,Unbranded Search,4 to 6,132.45
25.08.14,India,New Delhi,591,Employee,NA,Female,At Arrival Only,Buy from this site,Product effectiveness/will it work,Never. This is my first visit,NA,3,NA,5,Unbranded Search,2 to 3,135.39
11.08.14,United States,El Dorado,265,New customer,45-54,Female,At Arrival and Exit,Buy from this site,Product durability/quality,Never. This is my first visit,NA,4,Somewhat,25,Unbranded Search,10+,109.1
11.08.14,United States,Louisville,503,New customer,NA,Male,At Arrival Only,Products,Product effectiveness/will it work,Never. This is my first visit,NA,1,NA,4,Unbranded Search,1,103.75
22.08.14,United States,Bridgeport,114,Other,NA,Male,At Arrival Only,Compare pricing,None / no uncertainties,Never. This is my first visit,NA,1,NA,5,Unbranded Search,4 to 6,120.69
30.08.14,United States,Aurora,50,Frequent customer,65 or older,Female,At Arrival and Exit,Products,Warranties/product guarantees,In the past year,"Yes, more than once",4,Yes,3,Unbranded Search,7 to 9,78.87
21.08.14,Canada,Bonney Lake,NA,New customer,NA,Male,At Arrival Only,Products,Warranties/product guarantees,Never. This is my first visit,NA,1,NA,6,Social,1,114.26
29.07.14,United States,Park Rapids,661,Employee,NA,Male,At Arrival Only,Products,Shipping costs,NA,NA,3,NA,37,Unbranded Search,10+,142.72
28.07.14,United States,Park Rapids,661,Employee,NA,Male,At Arrival Only,Products,None / no uncertainties,Never. This is my first visit,NA,3,No,43,Unbranded Search,10+,149.32
10.09.14,United States,Merrick,538,Occasional customer,NA,Prefer not to answer,At Arrival Only,Products,Product effectiveness/will it work,In the past week,No,3,Yes,1,Direct,4 to 6,65.82
27.08.14,Canada,Beaumont,75,New customer,NA,Female,At Arrival Only,Buy from this site,Shipping costs,Never. This is my first visit,NA,3,No,14,Social,10+,142.6
10.09.14,United States,Eastpointe,257,New customer,NA,Male,At Arrival Only,Buy from this site,Product durability/quality,Never. This is my first visit,NA,4,Yes,6,Unbranded Search,4 to 6,75.26
12.08.14,United States,Chicago,176,Other,NA,Male,At Exit,Resources,Shipping costs,NA,NA,1,NA,5,Branded Search,2 to 3,90.89
29.07.14,Barbados,Bridgetown,115,Other,NA,Male,At Arrival Only,Products,Shipping costs,NA,NA,2,Yes,10,Unbranded Search,1,127.45
20.08.14,United States,Denver,235,New customer,NA,Male,At Arrival and Exit,Buy from this site,Shipping costs,Never. This is my first visit,NA,3,No,8,Unbranded Search,10+,73.71
30.07.14,United States,Austin,51,New customer,45-54,Female,At Arrival and Exit,Resources,None / no uncertainties,Never. This is my first visit,NA,4,NA,21,Direct,1,105.61
15.08.14,United States,San Antonio,767,Other,45-54,Female,At Exit,Buy from this site,Shipping costs,Never. This is my first visit,NA,4,Somewhat,8,Unbranded Search,10+,92.79
13.08.14,United States,San Diego,769,Other,NA,Female,At Arrival Only,Products,Product effectiveness/will it work,Never. This is my first visit,NA,3,Yes,10,Social,2 to 3,147.15
12.08.14,United States,New Bedford,588,Occasional customer,25-34,Female,At Exit,Buy from this site,None / no uncertainties,In the past week,"Yes, once",3,Somewhat,27,Branded Search,7 to 9,139.44
25.08.14,France,Sénas,800,Occasional customer,NA,Male,At Arrival Only,Resources,Ease of returning (if I am not satisfied with product),Never. This is my first visit,NA,2,NA,4,Referred,10+,108.95
23.08.14,United States,Portland,695,New customer,NA,Prefer not to answer,At Arrival Only,Products,Warranties/product guarantees,Never. This is my first visit,NA,3,NA,5,Unbranded Search,7 to 9,94.11
25.08.14,United States,Round Lake,744,Frequent customer,NA,Male,At Exit,Products,None / no uncertainties,In the past year,"Yes, once",4,Yes,34,Referred,10+,95.93
10.09.14,United States,Covington,210,New customer,45-54,Female,At Exit,Buy from this site,Product effectiveness/will it work,Never. This is my first visit,NA,3,Yes,13,Referred,4 to 6,116.12
20.08.14,United States,Englewood,276,Frequent customer,NA,Male,At Arrival Only,Compare pricing,Shipping costs,In the past month,"Yes, more than once",4,Somewhat,1,Unbranded Search,4 to 6,48
13.08.14,United States,Adrian,7,Occasional customer,45-54,Female,At Arrival and Exit,Compare pricing,Shipping costs,Never. This is my first visit,NA,4,Somewhat,28,Unbranded Search,4 to 6,114.06
21.08.14,United States,Valparaiso,890,Occasional customer,45-54,Female,At Exit,Resources,None / no uncertainties,Never. This is my first visit,NA,3,Somewhat,20,Unbranded Search,1,133.43
21.08.14,United States,Garner,322,Occasional customer,NA,Male,At Exit,Buy from this site,None / no uncertainties,Never. This is my first visit,NA,3,Somewhat,12,Unbranded Search,4 to 6,91.72
31.07.14,United States,Frankfort,311,Frequent customer,45-54,Female,At Arrival and Exit,Products,None / no uncertainties,In the past year,"Yes, more than once",4,Somewhat,11,Direct,7 to 9,104.86
28.07.14,United States,Brooklyn,120,New customer,35-44,Female,At Exit,Buy from this site,Warranties/product guarantees,In the past month,No,3,Yes,119,Direct,10+,162.8
15.08.14,United States,Hoboken,389,Other,18-24,Female,At Exit,Buy from this site,None / no uncertainties,In the past year,"Yes, once",4,Somewhat,17,Branded Search,10+,111.46
21.08.14,United States,Tucson,874,New customer,NA,Male,At Arrival Only,Compare pricing,Whether this is right for my child,In the past year,"Yes, once",3,Somewhat,33,Direct,10+,131.85
29.07.14,United States,Dobbs Ferry,240,Employee,NA,Female,At Exit,Buy from this site,None / no uncertainties,Never. This is my first visit,NA,3,Yes,21,Direct,10+,140.29
11.08.14,United States,Cedartown,161,New customer,NA,Female,At Arrival Only,Compare pricing,Shipping costs,Never. This is my first visit,NA,4,Yes,7,Branded Search,4 to 6,106.24
29.08.14,United States,Santa Fe,NA,Other,45-54,Female,At Exit,Buy from this site,Whether this is right for my child,Never. This is my first visit,NA,3,Yes,2,Social,4 to 6,91.16
31.07.14,United States,Blue Springs,98,Other,NA,Male,At Arrival and Exit,Products,None / no uncertainties,Never. This is my first visit,NA,3,Somewhat,2,Referred,4 to 6,59.66
26.08.14,United States,Keller,436,New customer,25-34,Female,At Arrival and Exit,Products,None / no uncertainties,In the past year,No,3,Somewhat,17,Unbranded Search,4 to 6,123.88
25.08.14,Australia,Sydney,850,New customer,35-44,Female,At Exit,Buy from this site,None / no uncertainties,Never. This is my first visit,NA,3,Somewhat,10,Unbranded Search,1,113.27
10.09.14,United Kingdom,London,496,Employee,NA,Male,At Arrival Only,Products,Shipping costs,Never. This is my first visit,NA,3,No,21,Unbranded Search,1,131.39
31.08.14,United Kingdom,Morrison,NA,Employee,45-54,Female,At Exit,Resources,None / no uncertainties,Never. This is my first visit,NA,2,NA,10,Unbranded Search,2 to 3,138.45
20.08.14,United States,Rochester,732,Frequent customer,25-34,Female,At Exit,Compare pricing,Ease of returning (if I am not satisfied with product),Never. This is my first visit,NA,4,Somewhat,7,Unbranded Search,7 to 9,95.82
25.08.14,United States,Petoskey,673,Occasional customer,45-54,Male,At Arrival and Exit,Compare pricing,None / no uncertainties,Never. This is my first visit,NA,3,Somewhat,3,Social,10+,63.99
30.07.14,United States,Atlanta,45,New customer,35-44,Female,At Arrival and Exit,Compare pricing,Shipping costs,Never. This is my first visit,NA,3,Somewhat,9,Unbranded Search,4 to 6,107.56
25.08.14,United States,Boiling Springs,101,New customer,NA,Male,At Arrival Only,Buy from this site,None / no uncertainties,Never. This is my first visit,NA,3,NA,27,Unbranded Search,10+,127.84
27.07.14,United States,Dallas,218,New customer,NA,Prefer not to answer,At Arrival Only,Products,None / no uncertainties,Never. This is my first visit,NA,3,Yes,11,Social,4 to 6,109.88
25.08.14,United States,Arlington,38,New customer,NA,Male,At Arrival and Exit,Buy from this site,Shipping costs,In the past month,"Yes, more than once",5,Yes,43,Branded Search,10+,52.84
20.08.14,United States,Kearney,435,New customer,45-54,Female,At Arrival and Exit,Products,Shipping costs,In the past year,No,4,Somewhat,4,Unbranded Search,10+,68.85
17.08.14,United States,Pensacola,670,Other,NA,Male,At Exit,Resources,None / no uncertainties,In the past year,"Yes, once",1,NA,24,Self Referred,4 to 6,125.86
31.07.14,United States,Oxford,652,New customer,45-54,Female,At Arrival and Exit,Other,None / no uncertainties,Never. This is my first visit,NA,3,NA,11,Unbranded Search,2 to 3,115.18
29.07.14,United States,Abilene,1,Frequent customer,45-54,Female,At Exit,Resources,Warranties/product guarantees,Never. This is my first visit,NA,5,Yes,1,Branded Search,2 to 3,24.9
29.08.14,United States,Bangor,59,Other,65 or older,Female,At Arrival and Exit,Other,None / no uncertainties,Never. This is my first visit,NA,3,Yes,25,Social,1,141.68
11.08.14,United States,Chapel Hill,165,New customer,35-44,Female,At Arrival and Exit,Buy from this site,None / no uncertainties,In the past year,No,3,Somewhat,18,Unbranded Search,10+,125.03
12.08.14,United States,Baton Rouge,65,Employee,NA,Female,At Arrival Only,Resources,None / no uncertainties,Never. This is my first visit,NA,3,No,12,Self Referred,7 to 9,155.3
25.08.14,United States,Roanoke,731,Occasional customer,NA,Male,At Arrival Only,Buy from this site,Ease of returning (if I am not satisfied with product),Never. This is my first visit,NA,1,Somewhat,13,Unbranded Search,2 to 3,136.02
29.07.14,United States,Midland,547,New customer,NA,Male,At Arrival and Exit,Buy from this site,Whether this is right for my child,Never. This is my first visit,NA,3,Somewhat,3,Unbranded Search,4 to 6,57.69
16.08.14,United States,Saint Charles,756,Other,55-64,Male,At Exit,Products,Product effectiveness/will it work,In the past year,"Yes, more than once",4,Yes,3,Referred,4 to 6,42.87
15.08.14,United States,Alameda,13,Frequent customer,NA,Female,At Arrival Only,Buy from this site,Product effectiveness/will it work,Never. This is my first visit,NA,3,Somewhat,62,Unbranded Search,10+,185.74
11.08.14,United States,Jefferson City,424,Other,35-44,Female,At Exit,Compare pricing,Shipping costs,In the past month,"Yes, once",3,Yes,12,Unbranded Search,2 to 3,123.4
21.08.14,United States,Massillon,526,New customer,NA,Prefer not to answer,At Exit,Buy from this site,None / no uncertainties,Never. This is my first visit,NA,5,Somewhat,11,Unbranded Search,10+,29.18
12.08.14,Canada,Cambridge,140,New customer,NA,Male,At Arrival Only,Buy from this site,None / no uncertainties,Never. This is my first visit,NA,4,Somewhat,18,Unbranded Search,10+,97.23
11.08.14,United States,Pasadena,665,Frequent customer,NA,Male,At Arrival Only,Compare pricing,Shipping costs,Never. This is my first visit,NA,1,NA,5,Unbranded Search,10+,119.19
14.08.14,United States,San Ramon,779,Occasional customer,NA,Female,At Exit,Buy from this site,Product effectiveness/will it work,Never. This is my first visit,NA,5,No,1,Unbranded Search,7 to 9,16.62
31.08.14,United States,Saline,763,New customer,NA,Male,At Arrival Only,Compare pricing,Whether this is right for my child,NA,NA,1,NA,14,Unbranded Search,4 to 6,131.2
11.08.14,United States,Midlothian,548,New customer,NA,Male,At Arrival Only,Products,None / no uncertainties,Never. This is my first visit,NA,3,Somewhat,8,Direct,10+,103.51
16.08.14,United States,Temecula,859,Occasional customer,NA,Male,At Exit,Products,Fast delivery,Never. This is my first visit,NA,3,Somewhat,5,Unbranded Search,10+,74.21
14.08.14,United States,Bakersfield,54,Other,NA,Prefer not to answer,At Exit,Resources,Ease of returning (if I am not satisfied with product),Never. This is my first visit,NA,1,NA,26,Direct,1,127.46
22.08.14,United States,Tustin,878,New customer,35-44,Female,At Exit,Resources,Shipping costs,Never. This is my first visit,NA,3,NA,10,Self Referred,2 to 3,109.67
14.08.14,United States,Tacoma,853,New customer,NA,Female,At Arrival Only,Resources,None / no uncertainties,Never. This is my first visit,NA,3,Somewhat,22,Unbranded Search,10+,155.24
31.08.14,United States,Milwaukee,552,New customer,25-34,Female,At Exit,Buy from this site,None / no uncertainties,In the past month,No,3,Yes,3,Unbranded Search,10+,89.19
28.07.14,United States,Providence,703,Other,NA,Female,At Exit,Buy from this site,Ease of returning (if I am not satisfied with product),In the past year,No,3,Somewhat,6,Social,2 to 3,113.14
10.09.14,United States,Elk Grove Village,269,Employee,45-54,Female,At Exit,Buy from this site,Warranties/product guarantees,In the past month,No,4,No,6,Branded Search,10+,92.74
23.08.14,United States,Pocatello,688,New customer,25-34,Female,At Exit,Products,Shipping costs,Never. This is my first visit,NA,2,Yes,26,Social,1,141.78
16.08.14,United States,Kings Mountain,445,New customer,NA,Male,At Arrival Only,Products,None / no uncertainties,Never. This is my first visit,NA,3,Somewhat,7,Referred,10+,100.84
10.09.14,United States,Chicago,176,New customer,NA,Male,At Exit,Products,Product durability/quality,Never. This is my first visit,NA,4,Somewhat,11,Unbranded Search,10+,61.18
15.08.14,United States,Milford,549,New customer,NA,Male,At Arrival Only,Products,Shipping costs,Never. This is my first visit,NA,4,Somewhat,13,Unbranded Search,7 to 9,87.12
27.08.14,United States,Broken Arrow,119,New customer,35-44,Female,At Arrival and Exit,Products,Shipping costs,In the past month,"Yes, once",4,Somewhat,4,Referred,10+,68.85
26.08.14,United States,Murfreesboro,579,New customer,25-34,Female,At Arrival and Exit,Products,Whether this is right for my child,Never. This is my first visit,NA,3,Somewhat,8,Unbranded Search,10+,108.81
26.08.14,United States,Tampa,856,Occasional customer,NA,Male,At Exit,Products,Product effectiveness/will it work,Never. This is my first visit,NA,1,NA,36,Unbranded Search,2 to 3,127.79
22.08.14,United States,Burke,133,New customer,35-44,Female,At Arrival and Exit,Products,Ease of returning (if I am not satisfied with product),In the past week,No,4,Somewhat,2,Unbranded Search,4 to 6,58.58
25.08.14,Australia,Pennant Hills,669,New customer,NA,Male,At Arrival Only,Buy from this site,Ease of returning (if I am not satisfied with product),Never. This is my first visit,NA,3,Somewhat,6,Unbranded Search,7 to 9,97.76
14.08.14,United States,Hinesville,386,Frequent customer,25-34,Female,At Arrival and Exit,Buy from this site,None / no uncertainties,Never. This is my first visit,NA,3,Somewhat,15,Unbranded Search,10+,133.56
28.08.14,United States,Fort Wayne,308,New customer,35-44,Female,At Exit,Buy from this site,None / no uncertainties,Never. This is my first visit,NA,3,Somewhat,62,Social,10+,149.76
27.08.14,United States,Syracuse,852,Frequent customer,45-54,Female,At Arrival and Exit,Resources,Shipping costs,Never. This is my first visit,NA,3,NA,11,Unbranded Search,10+,123.76
31.07.14,United States,Opa Locka,640,Frequent customer,NA,Prefer not to answer,At Arrival Only,Buy from this site,None / no uncertainties,In the past year,"Yes, once",3,No,21,Direct,2 to 3,134.99
28.07.14,United States,Hackensack,354,New customer,35-44,Female,At Arrival and Exit,Compare pricing,Warranties/product guarantees,In the past year,"Yes, once",3,Yes,10,Unbranded Search,7 to 9,113.27
29.07.14,United States,Silver Spring,812,New customer,NA,Male,At Exit,Buy from this site,None / no uncertainties,In the past year,"Yes, once",3,NA,18,Email,2 to 3,93.53
29.08.14,United States,Los Angeles,501,Employee,NA,Male,At Exit,Buy from this site,Whether this is right for my child,In the past month,No,3,Somewhat,13,Referred,10+,99.2
21.08.14,United States,San Antonio,767,Other,NA,Male,At Arrival Only,Resources,None / no uncertainties,Never. This is my first visit,NA,3,Somewhat,5,Unbranded Search,10+,104.19
15.08.14,United Kingdom,Exeter,284,New customer,NA,Prefer not to answer,At Arrival Only,Products,Ease of returning (if I am not satisfied with product),Never. This is my first visit,NA,3,Yes,9,Referred,4 to 6,105.86
29.07.14,United States,Tacoma,853,Other,18-24,Female,At Exit,Buy from this site,Shipping costs,In the past week,No,5,Yes,4,Unbranded Search,10+,46.93
29.07.14,United States,Kirkland,447,New customer,NA,Male,At Arrival Only,Compare pricing,None / no uncertainties,Never. This is my first visit,NA,3,Somewhat,11,Unbranded Search,2 to 3,109.88
10.09.14,Portugal,Odivelas,630,Frequent customer,NA,Female,At Arrival Only,Buy from this site,Ease of returning (if I am not satisfied with product),Never. This is my first visit,NA,3,NA,10,Self Referred,1,151.65
29.07.14,United States,Orlando,645,New customer,NA,Female,At Arrival Only,Products,None / no uncertainties,Never. This is my first visit,NA,4,No,2,Unbranded Search,2 to 3,84.78
28.08.14,United States,West Linn,936,New customer,35-44,Female,At Arrival and Exit,Buy from this site,Shipping costs,In the past year,No,3,Somewhat,20,Referred,4 to 6,123.53
29.08.14,United States,Walla Walla,908,Occasional customer,45-54,Female,At Arrival and Exit,Products,None / no uncertainties,More than a year ago,No,5,Yes,27,Branded Search,2 to 3,84.94
29.07.14,United States,San Antonio,767,Other,NA,Male,At Arrival Only,Products,Fast delivery,In the past week,No,5,NA,26,Social,10+,82.66
10.09.14,United States,Pasadena,665,New customer,NA,Female,At Arrival Only,Resources,None / no uncertainties,In the past week,No,3,NA,27,Social,1,159.34
30.07.14,United States,Marietta,516,Occasional customer,35-44,Female,At Arrival and Exit,Compare pricing,Product durability/quality,In the past week,"Yes, more than once",4,Somewhat,11,Unbranded Search,7 to 9,98.98
25.08.14,Canada,Hamilton,358,New customer,NA,Female,At Arrival Only,Resources,None / no uncertainties,Never. This is my first visit,NA,3,Somewhat,25,Social,1,157.8
10.08.14,Australia,Canberra,143,Other,NA,Male,At Exit,Products,Shipping costs,Never. This is my first visit,NA,1,NA,45,Unbranded Search,4 to 6,134.83
25.08.14,Malta,Paola,659,New customer,35-44,Male,At Exit,Buy from this site,Ease of returning (if I am not satisfied with product),Never. This is my first visit,NA,5,Somewhat,28,Unbranded Search,2 to 3,47.86
29.08.14,United States,Evansville,282,Other,45-54,Female,At Arrival and Exit,Buy from this site,Ease of returning (if I am not satisfied with product),In the past week,No,3,No,12,Direct,2 to 3,127
29.07.14,Ireland,Dublin,247,Frequent customer,45-54,Female,At Exit,Resources,None / no uncertainties,Never. This is my first visit,NA,3,Somewhat,24,Direct,10+,142.96
13.08.14,United States,Wakefield,906,New customer,NA,Male,At Arrival Only,Buy from this site,None / no uncertainties,Never. This is my first visit,NA,4,No,11,Social,4 to 6,87.38
22.08.14,Germany,Pirmasens,682,New customer,35-44,Female,At Arrival and Exit,Buy from this site,Ease of returning (if I am not satisfied with product),Never. This is my first visit,NA,3,Somewhat,4,Referred,2 to 3,94.95
21.08.14,United States,Atlanta,45,New customer,NA,Male,At Exit,Products,None / no uncertainties,In the past week,No,2,Yes,13,Referred,1,100.02
29.07.14,United States,Seattle,798,Frequent customer,NA,Male,At Exit,Buy from this site,None / no uncertainties,In the past year,"Yes, more than once",1,NA,4,Branded Search,4 to 6,92.13
